5535.794
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
127, 0.00, 232,       0,      3, 0.66, 0.13, 0.08, 0.07, 0.05
128, 0.00, 277,      60,      0, 0.97, 0.02, 0.01, 0.00, 0.00
129, 0.00, 274,      60,      0, 0.96, 0.02, 0.01, 0.00, 0.00
130, 0.00, 270,      60,      0, 0.95, 0.03, 0.01, 0.01, 0.00
131, 0.00, 268,      60,      0, 0.94, 0.04, 0.01, 0.01, 0.00
132, 0.00, 266,      60,      0, 0.93, 0.04, 0.01, 0.01, 0.00
133, 0.00, 265,      60,      0, 0.92, 0.04, 0.02, 0.01, 0.01
134, 0.02, 264,      60,      0, 0.92, 0.05, 0.02, 0.01, 0.01
135, 0.02, 262,      60,      0, 0.91, 0.05, 0.02, 0.01, 0.01
136, 0.02, 261,      60,      2, 0.90, 0.05, 0.02, 0.02, 0.01
137, 0.02, 297,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
138, 0.02, 295,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
139, 0.03, 293,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
140, 0.04, 291,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
141, 0.04, 289,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
142, 0.05, 290,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
143, 0.05, 287,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
144, 0.06, 286,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
145, 0.07, 284,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
146, 0.08, 283,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
147, 0.09, 282,     100,      0, 0.98, 0.02, 0.00, 0.00, 0.00
148, 0.10, 281,     100,      0, 0.98, 0.02, 0.00, 0.00, 0.00
149, 0.12, 280,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
150, 0.13, 279,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
151, 0.15, 278,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
152, 0.16, 277,     100,      0, 0.96, 0.02, 0.01, 0.00, 0.00
153, 0.18, 276,     100,      0, 0.96, 0.03, 0.01, 0.00, 0.00
154, 0.20, 275,     100,      0, 0.95, 0.03, 0.01, 0.01, 0.00
155, 0.22, 274,     100,      0, 0.95, 0.03, 0.01, 0.01, 0.00
156, 0.25, 273,     100,      0, 0.94, 0.03, 0.01, 0.01, 0.00
157, 0.28, 272,     100,      0, 0.94, 0.04, 0.01, 0.01, 0.00
158, 0.29, 271,     100,      0, 0.93, 0.04, 0.01, 0.01, 0.00
159, 0.30, 274,     100,      0, 0.94, 0.03, 0.01, 0.01, 0.00
160, 0.32, 275,     100,      0, 0.94, 0.03, 0.01, 0.01, 0.00
